intervention,id_engagement_engin,victime,commune,categorie,id_engin,duree_engin_sur_intervention,heure,jour,,,,
5467978,1,0,1ER ARRONDISSEMENT,Autres,5150,5898,0,lundi,,,,
9277978,2,1,BOBIGNY,SECOURS A PERSONNE,5337,9040,0,lundi,,,,
6167979,3,1,12EME ARRONDISSEMENT,SECOURS A PERSONNE,5349,1432,1,lundi,,,,
6367979,4,1,COURNEUVE (LA),SECOURS A PERSONNE,5219,3866,2,lundi,,,,
2687978,5,1,11EME ARRONDISSEMENT,SECOURS A PERSONNE,5345,1496,2,lundi,,,,
6617979,6,1,13EME ARRONDISSEMENT,SECOURS A PERSONNE,5178,1930,3,lundi,,,,
3497978,7,1,COLOMBES,SECOURS A PERSONNE,5303,3618,3,lundi,,,,
6917979,8,1,BLANC-MESNIL (LE),SECOURS A PERSONNE,5337,3562,4,lundi,,,,
6957979,9,1,13EME ARRONDISSEMENT,SECOURS A PERSONNE,5224,2309,5,lundi,,,,
4247981,10,1,CLAMART,SECOURS A PERSONNE,5137,144,6,lundi,,,,
987980,11,0,NEUILLY-SUR-MARNE,SECOURS A PERSONNE,5309,5435,6,lundi,,,,
7407978,12,1,DRANCY,SECOURS A PERSONNE,4041,4649,0,lundi,,,,
6337979,13,1,ALFORTVILLE,SECOURS A PERSONNE,4246,2967,1,lundi,,,,
6547979,14,1,MONTROUGE,SECOURS A PERSONNE,2587,2727,2,lundi,,,,
2047980,15,1,20EME ARRONDISSEMENT,SECOURS A PERSONNE,4066,4067,6,lundi,,,,
2057980,16,1,VILLE-D'AVRAY,SECOURS A PERSONNE,3779,4943,6,lundi,,,,
9297978,17,0,NANTERRE,ACCIDENT,3779,6374,2,lundi,,,,
5517978,18,1,FONTENAY-AUX-ROSES,SECOURS A PERSONNE,2939,7091,3,lundi,,,,
3347981,19,1,SCEAUX,SECOURS A PERSONNE,2939,4122,5,lundi,,,,
9157980,20,0,ISSY-LES-MOULINEAUX,Autres,3739,1338,6,lundi,,,,
9297978,21,1,NANTERRE,ACCIDENT,2618,8200,2,lundi,,,,
7567979,22,0,10EME ARRONDISSEMENT,Autres,2424,1357,1,lundi,,,,
4467978,23,1,19EME ARRONDISSEMENT,SECOURS A PERSONNE,5005,4523,1,lundi,,,,
2097980,24,0,LEVALLOIS-PERRET,Autres,3891,1800,6,lundi,,,,
7577979,25,1,17EME ARRONDISSEMENT,SECOURS A PERSONNE,2601,2222,1,lundi,,,,
7437978,26,1,13EME ARRONDISSEMENT,SECOURS A PERSONNE,2582,3731,4,lundi,,,,
8347979,27,1,1ER ARRONDISSEMENT,ACCIDENT,2617,79798,5,lundi,,,,
5467978,28,0,1ER ARRONDISSEMENT,Autres,4591,5141,0,lundi,,,,
3427978,29,0,18EME ARRONDISSEMENT,SECOURS A PERSONNE,4000,82,0,lundi,,,,
6327979,30,1,GARENNE-COLOMBES (LA),SECOURS A PERSONNE,2991,2854,1,lundi,,,,
2107980,31,0,GARENNE-COLOMBES (LA),Autres,2991,1948,6,lundi,,,,
5707978,32,1,NANTERRE,SECOURS A PERSONNE,2993,2933,2,lundi,,,,
9357978,33,1,NANTERRE,SECOURS A PERSONNE,2993,5156,4,lundi,,,,
1227978,34,0,1ER ARRONDISSEMENT,Autres,4003,125,2,lundi,,,,
9507979,35,1,VILLECRESNES,SECOURS A PERSONNE,2320,5134,6,lundi,,,,
5347981,36,0,VILLENEUVE-SAINT-GEORGES,Autres,2305,4237,7,lundi,,,,
6847979,37,0,VILLENEUVE-LE-ROI,Autres,3899,623,4,lundi,,,,
4257981,38,1,VITRY-SUR-SEINE,SECOURS A PERSONNE,2361,1788,6,lundi,,,,
6947979,39,1,CHAMPIGNY-SUR-MARNE,SECOURS A PERSONNE,2403,4738,5,lundi,,,,
2537978,40,1,20EME ARRONDISSEMENT,SECOURS A PERSONNE,4081,2740,3,lundi,,,,
8377978,41,1,EPINAY-SUR-SEINE,SECOURS A PERSONNE,4203,2640,2,lundi,,,,
6707979,42,0,MAISONS-ALFORT,SECOURS A PERSONNE,3878,13,4,lundi,,,,
8407978,43,0,COLOMBES,SECOURS A PERSONNE,1538,5,4,lundi,,,,
2407980,44,1,GENNEVILLIERS,SECOURS A PERSONNE,5089,7759,8,lundi,,,,
2497980,45,1,14EME ARRONDISSEMENT,SECOURS A PERSONNE,5365,3028,8,lundi,,,,
4347981,46,1,ORMESSON-SUR-MARNE,SECOURS A PERSONNE,5087,4585,9,lundi,,,,
6227981,47,1,BOIS-COLOMBES,ACCIDENT,5303,1581,9,lundi,,,,
3537981,48,1,CLICHY,SECOURS A PERSONNE,5145,7809,10,lundi,,,,
2177981,49,0,AUBERVILLIERS,ACCIDENT,5146,4691,10,lundi,,,,
9207980,50,1,6EME ARRONDISSEMENT,ACCIDENT,5338,3579,10,lundi,,,,
4417981,51,0,MEUDON,Autres,5160,79814,10,lundi,,,,
1177980,52,1,4EME ARRONDISSEMENT,SECOURS A PERSONNE,5350,3070,11,lundi,,,,
5527981,53,1,BLANC-MESNIL (LE),SECOURS A PERSONNE,5337,2470,11,lundi,,,,
3487980,54,0,16EME ARRONDISSEMENT,Autres,5095,1352,11,lundi,,,,
8837979,55,1,CRETEIL,SECOURS A PERSONNE,5305,2469,11,lundi,,,,
5587981,56,1,SUCY-EN-BRIE,SECOURS A PERSONNE,5289,5641,11,lundi,,,,
8567979,57,1,11EME ARRONDISSEMENT,SECOURS A PERSONNE,5349,2476,12,lundi,,,,
8867979,58,0,6EME ARRONDISSEMENT,Autres,5193,1431,12,lundi,,,,
7697979,59,1,SEVRAN,ACCIDENT,5216,2155,13,lundi,,,,
8907979,60,1,13EME ARRONDISSEMENT,SECOURS A PERSONNE,5144,2594,13,lundi,,,,
1517981,61,0,1ER ARRONDISSEMENT,SECOURS A PERSONNE,5141,1556,14,lundi,,,,
4417980,62,1,17EME ARRONDISSEMENT,SECOURS A PERSONNE,5141,2031,14,lundi,,,,
5707981,63,1,MONTREUIL,SECOURS A PERSONNE,5348,3907,14,lundi,,,,
4567980,64,0,NOGENT-SUR-MARNE,INCENDIE,5292,7122,14,lundi,,,,
8567978,65,1,CRETEIL,SECOURS A PERSONNE,5305,4851,0,lundi,,,,
8467978,66,1,PRE-SAINT-GERVAIS (LE),SECOURS A PERSONNE,5219,24,0,lundi,,,,
6257979,67,1,BOBIGNY,SECOURS A PERSONNE,5146,3194,1,lundi,,,,
3477978,68,1,SAINT-DENIS,SECOURS A PERSONNE,5145,5620,1,lundi,,,,
9297978,69,1,NANTERRE,ACCIDENT,5358,10151,2,lundi,,,,
6467979,70,0,NANTERRE,Autres,5303,1819,2,lundi,,,,
