"","intervention","id_engagement_engin","victime","commune","categorie","id_engin","heure","jour","duree_engin_hms","duree_engin_min"
"1",5467978,1,0,"1ER ARRONDISSEMENT","Autres",5150,0,"lundi",01:38:18.0,98.3
"2",9277978,2,1,"BOBIGNY","SECOURS A PERSONNE",5337,0,"lundi",02:30:40.0,150.67
"3",6167979,3,1,"12EME ARRONDISSEMENT","SECOURS A PERSONNE",5349,1,"lundi",00:23:52.0,23.87
"4",6367979,4,1,"COURNEUVE (LA)","SECOURS A PERSONNE",5219,2,"lundi",01:04:26.0,64.43
"5",2687978,5,1,"11EME ARRONDISSEMENT","SECOURS A PERSONNE",5345,2,"lundi",00:24:56.0,24.93
"6",6617979,6,1,"13EME ARRONDISSEMENT","SECOURS A PERSONNE",5178,3,"lundi",00:32:10.0,32.17
"7",3497978,7,1,"COLOMBES","SECOURS A PERSONNE",5303,3,"lundi",01:00:18.0,60.3
"8",6917979,8,1,"BLANC-MESNIL (LE)","SECOURS A PERSONNE",5337,4,"lundi",00:59:22.0,59.37
"9",6957979,9,1,"13EME ARRONDISSEMENT","SECOURS A PERSONNE",5224,5,"lundi",00:38:29.0,38.48
"10",4247981,10,1,"CLAMART","SECOURS A PERSONNE",5137,6,"lundi",00:02:24.0,2.4
"11",987980,11,0,"NEUILLY-SUR-MARNE","SECOURS A PERSONNE",5309,6,"lundi",01:30:35.0,90.58
"12",7407978,12,1,"DRANCY","SECOURS A PERSONNE",4041,0,"lundi",01:17:29.0,77.48
"13",6337979,13,1,"ALFORTVILLE","SECOURS A PERSONNE",4246,1,"lundi",00:49:27.0,49.45
"14",6547979,14,1,"MONTROUGE","SECOURS A PERSONNE",2587,2,"lundi",00:45:27.0,45.45
"15",2047980,15,1,"20EME ARRONDISSEMENT","SECOURS A PERSONNE",4066,6,"lundi",01:07:47.0,67.78
"16",2057980,16,1,"VILLE-D'AVRAY","SECOURS A PERSONNE",3779,6,"lundi",01:22:23.0,82.38
"17",9297978,17,0,"NANTERRE","ACCIDENT",3779,2,"lundi",01:46:14.0,106.23
"18",5517978,18,1,"FONTENAY-AUX-ROSES","SECOURS A PERSONNE",2939,3,"lundi",01:58:11.0,118.18
"19",3347981,19,1,"SCEAUX","SECOURS A PERSONNE",2939,5,"lundi",01:08:42.0,68.7
"20",9157980,20,0,"ISSY-LES-MOULINEAUX","Autres",3739,6,"lundi",00:22:18.0,22.3
"21",9297978,21,1,"NANTERRE","ACCIDENT",2618,2,"lundi",02:16:40.0,136.67
"22",7567979,22,0,"10EME ARRONDISSEMENT","Autres",2424,1,"lundi",00:22:37.0,22.62
"23",4467978,23,1,"19EME ARRONDISSEMENT","SECOURS A PERSONNE",5005,1,"lundi",01:15:23.0,75.38
"24",2097980,24,0,"LEVALLOIS-PERRET","Autres",3891,6,"lundi",00:30:00.0,30
"25",7577979,25,1,"17EME ARRONDISSEMENT","SECOURS A PERSONNE",2601,1,"lundi",00:37:02.0,37.03
"26",7437978,26,1,"13EME ARRONDISSEMENT","SECOURS A PERSONNE",2582,4,"lundi",01:02:11.0,62.18
"27",8347979,27,1,"1ER ARRONDISSEMENT","ACCIDENT",2617,5,"lundi",22:09:58.0,1329.97
"28",5467978,28,0,"1ER ARRONDISSEMENT","Autres",4591,0,"lundi",01:25:41.0,85.68
"29",3427978,29,0,"18EME ARRONDISSEMENT","SECOURS A PERSONNE",4000,0,"lundi",00:01:22.0,1.37
"30",6327979,30,1,"GARENNE-COLOMBES (LA)","SECOURS A PERSONNE",2991,1,"lundi",00:47:34.0,47.57
"31",2107980,31,0,"GARENNE-COLOMBES (LA)","Autres",2991,6,"lundi",00:32:28.0,32.47
"32",5707978,32,1,"NANTERRE","SECOURS A PERSONNE",2993,2,"lundi",00:48:53.0,48.88
"33",9357978,33,1,"NANTERRE","SECOURS A PERSONNE",2993,4,"lundi",01:25:56.0,85.93
"34",1227978,34,0,"1ER ARRONDISSEMENT","Autres",4003,2,"lundi",00:02:05.0,2.08
"35",9507979,35,1,"VILLECRESNES","SECOURS A PERSONNE",2320,6,"lundi",01:25:34.0,85.57
"36",5347981,36,0,"VILLENEUVE-SAINT-GEORGES","Autres",2305,7,"lundi",01:10:37.0,70.62
"37",6847979,37,0,"VILLENEUVE-LE-ROI","Autres",3899,4,"lundi",00:10:23.0,10.38
"38",4257981,38,1,"VITRY-SUR-SEINE","SECOURS A PERSONNE",2361,6,"lundi",00:29:48.0,29.8
"39",6947979,39,1,"CHAMPIGNY-SUR-MARNE","SECOURS A PERSONNE",2403,5,"lundi",01:18:58.0,78.97
"40",2537978,40,1,"20EME ARRONDISSEMENT","SECOURS A PERSONNE",4081,3,"lundi",00:45:40.0,45.67
"41",8377978,41,1,"EPINAY-SUR-SEINE","SECOURS A PERSONNE",4203,2,"lundi",00:44:00.0,44
"42",6707979,42,0,"MAISONS-ALFORT","SECOURS A PERSONNE",3878,4,"lundi",00:59:47.5,59.79
"43",8407978,43,0,"COLOMBES","SECOURS A PERSONNE",1538,4,"lundi",00:59:47.5,59.79
"44",2407980,44,1,"GENNEVILLIERS","SECOURS A PERSONNE",5089,8,"lundi",02:09:19.0,129.32
"45",2497980,45,1,"14EME ARRONDISSEMENT","SECOURS A PERSONNE",5365,8,"lundi",00:50:28.0,50.47
"46",4347981,46,1,"ORMESSON-SUR-MARNE","SECOURS A PERSONNE",5087,9,"lundi",01:16:25.0,76.42
"47",6227981,47,1,"BOIS-COLOMBES","ACCIDENT",5303,9,"lundi",00:26:21.0,26.35
"48",3537981,48,1,"CLICHY","SECOURS A PERSONNE",5145,10,"lundi",02:10:09.0,130.15
"49",2177981,49,0,"AUBERVILLIERS","ACCIDENT",5146,10,"lundi",01:18:11.0,78.18
"50",9207980,50,1,"6EME ARRONDISSEMENT","ACCIDENT",5338,10,"lundi",00:59:39.0,59.65
"51",4417981,51,0,"MEUDON","Autres",5160,10,"lundi",22:10:14.0,1330.23
"52",1177980,52,1,"4EME ARRONDISSEMENT","SECOURS A PERSONNE",5350,11,"lundi",00:51:10.0,51.17
"53",5527981,53,1,"BLANC-MESNIL (LE)","SECOURS A PERSONNE",5337,11,"lundi",00:41:10.0,41.17
"54",3487980,54,0,"16EME ARRONDISSEMENT","Autres",5095,11,"lundi",00:22:32.0,22.53
"55",8837979,55,1,"CRETEIL","SECOURS A PERSONNE",5305,11,"lundi",00:41:09.0,41.15
"56",5587981,56,1,"SUCY-EN-BRIE","SECOURS A PERSONNE",5289,11,"lundi",01:34:01.0,94.02
"57",8567979,57,1,"11EME ARRONDISSEMENT","SECOURS A PERSONNE",5349,12,"lundi",00:41:16.0,41.27
"58",8867979,58,0,"6EME ARRONDISSEMENT","Autres",5193,12,"lundi",00:23:51.0,23.85
"59",7697979,59,1,"SEVRAN","ACCIDENT",5216,13,"lundi",00:35:55.0,35.92
"60",8907979,60,1,"13EME ARRONDISSEMENT","SECOURS A PERSONNE",5144,13,"lundi",00:43:14.0,43.23
"61",1517981,61,0,"1ER ARRONDISSEMENT","SECOURS A PERSONNE",5141,14,"lundi",00:25:56.0,25.93
"62",4417980,62,1,"17EME ARRONDISSEMENT","SECOURS A PERSONNE",5141,14,"lundi",00:33:51.0,33.85
"63",5707981,63,1,"MONTREUIL","SECOURS A PERSONNE",5348,14,"lundi",01:05:07.0,65.12
"64",4567980,64,0,"NOGENT-SUR-MARNE","INCENDIE",5292,14,"lundi",01:58:42.0,118.7
"65",8567978,65,1,"CRETEIL","SECOURS A PERSONNE",5305,0,"lundi",01:20:51.0,80.85
"66",8467978,66,1,"PRE-SAINT-GERVAIS (LE)","SECOURS A PERSONNE",5219,0,"lundi",00:59:47.5,59.79
"67",6257979,67,1,"BOBIGNY","SECOURS A PERSONNE",5146,1,"lundi",00:53:14.0,53.23
"68",3477978,68,1,"SAINT-DENIS","SECOURS A PERSONNE",5145,1,"lundi",01:33:40.0,93.67
"69",9297978,69,1,"NANTERRE","ACCIDENT",5358,2,"lundi",02:49:11.0,169.18
"70",6467979,70,0,"NANTERRE","Autres",5303,2,"lundi",00:30:19.0,30.32
"71",917978,71,1,"8EME ARRONDISSEMENT","SECOURS A PERSONNE",5097,3,"lundi",00:38:33.0,38.55
"72",6777979,72,1,"GENNEVILLIERS","SECOURS A PERSONNE",5089,3,"lundi",00:54:29.0,54.48
"73",4227981,73,1,"SAINT-DENIS","SECOURS A PERSONNE",5145,5,"lundi",01:06:29.0,66.48
"74",1957980,74,0,"AUBERVILLIERS","INCENDIE",5252,5,"lundi",02:34:06.0,154.1
"75",9927979,75,1,"20EME ARRONDISSEMENT","SECOURS A PERSONNE",5226,6,"lundi",01:10:07.0,70.12
"76",1917980,76,0,"AUBERVILLIERS","INCENDIE",2287,5,"lundi",00:18:25.0,18.42
"77",4477978,77,0,"AULNAY-SOUS-BOIS","Autres",2460,2,"lundi",00:31:27.0,31.45
"78",8427978,78,0,"19EME ARRONDISSEMENT","Autres",4965,4,"lundi",00:21:22.0,21.37
"79",6837979,79,0,"8EME ARRONDISSEMENT","Autres",4005,4,"lundi",00:24:12.0,24.2
"80",9327978,80,1,"CHOISY-LE-ROI","SECOURS A PERSONNE",4207,3,"lundi",00:23:50.0,23.83
"81",7627979,81,0,"COLOMBES","INCENDIE",4651,3,"lundi",02:18:19.0,138.32
"82",3487978,82,1,"LIVRY-GARGAN","SECOURS A PERSONNE",4231,2,"lundi",00:48:18.0,48.3
"83",6067979,83,1,"20EME ARRONDISSEMENT","SECOURS A PERSONNE",3723,0,"lundi",00:40:43.0,40.72
"84",8467978,84,0,"PRE-SAINT-GERVAIS (LE)","SECOURS A PERSONNE",3723,0,"lundi",00:01:57.0,1.95
"85",2077980,85,1,"12EME ARRONDISSEMENT","SECOURS A PERSONNE",4963,6,"lundi",01:04:40.0,64.67
"86",987980,86,0,"NEUILLY-SUR-MARNE","SECOURS A PERSONNE",4602,6,"lundi",01:39:01.0,99.02
"87",6697979,87,1,"NEUILLY-SUR-MARNE","SECOURS A PERSONNE",3748,3,"lundi",00:59:59.0,59.98
"88",887978,88,1,"5EME ARRONDISSEMENT","SECOURS A PERSONNE",2325,2,"lundi",00:44:46.0,44.77
"89",9297978,89,0,"NANTERRE","ACCIDENT",4322,3,"lundi",01:35:39.0,95.65
"90",5467978,90,0,"1ER ARRONDISSEMENT","Autres",4755,0,"lundi",01:19:27.0,79.45
"91",5467978,91,0,"1ER ARRONDISSEMENT","Autres",892,0,"lundi",00:51:26.0,51.43
"92",7627979,92,0,"COLOMBES","INCENDIE",724,3,"lundi",02:18:09.0,138.15
"93",5517978,93,1,"FONTENAY-AUX-ROSES","SECOURS A PERSONNE",4054,3,"lundi",03:47:30.0,227.5
"94",2207980,94,0,"SAINT-DENIS","Autres",4203,7,"lundi",00:55:03.0,55.05
"95",6347979,95,1,"SAINT-OUEN","SECOURS A PERSONNE",4205,1,"lundi",00:41:02.0,41.03
"96",2117980,96,0,"18EME ARRONDISSEMENT","SECOURS A PERSONNE",1526,7,"lundi",00:59:47.5,59.79
"97",227981,97,1,"SURESNES","ACCIDENT",5330,7,"lundi",00:47:52.0,47.87
"98",9537979,98,1,"12EME ARRONDISSEMENT","SECOURS A PERSONNE",5349,8,"lundi",01:29:50.0,89.83
"99",1077980,99,1,"ISSY-LES-MOULINEAUX","ACCIDENT",5331,8,"lundi",01:03:28.0,63.47
"100",1087980,100,1,"DRANCY","SECOURS A PERSONNE",5359,8,"lundi",02:22:03.0,142.05
"101",2977980,101,1,"SURESNES","SECOURS A PERSONNE",5327,10,"lundi",01:03:08.0,63.13
"102",257981,102,1,"BLANC-MESNIL (LE)","SECOURS A PERSONNE",5337,9,"lundi",01:05:55.0,65.92
"103",3117981,103,0,"AULNAY-SOUS-BOIS","Autres",5216,10,"lundi",00:21:55.0,21.92
"104",3217980,104,1,"1ER ARRONDISSEMENT","SECOURS A PERSONNE",5149,10,"lundi",01:38:32.0,98.53
"105",3567981,105,1,"NANTERRE","SECOURS A PERSONNE",5358,10,"lundi",00:28:41.0,28.68
"106",3407980,106,1,"SAINT-CLOUD","SECOURS A PERSONNE",5330,11,"lundi",00:44:26.0,44.43
"107",297981,107,0,"COURBEVOIE","INCENDIE",5211,11,"lundi",01:08:58.0,68.97
"108",1367981,108,1,"SAINT-DENIS","SECOURS A PERSONNE",5363,11,"lundi",01:05:28.0,65.47
"109",1837980,109,1,"MONTROUGE","SECOURS A PERSONNE",5365,11,"lundi",00:50:16.0,50.27
"110",727980,110,1,"16EME ARRONDISSEMENT","SECOURS A PERSONNE",5306,12,"lundi",00:22:47.0,22.78
"111",3947980,111,1,"1ER ARRONDISSEMENT","SECOURS A PERSONNE",5149,12,"lundi",01:32:43.0,92.72
"112",8877979,112,0,"16EME ARRONDISSEMENT","INCENDIE",5254,12,"lundi",01:03:39.0,63.65
